"text","emotion"
"Kalbimde bir tereddüt vardır işin görünmeyen tarafı ağır basabilir.","cekince"
"Verdiğiniz desteğe karşı teşekkür borçluyum, yardımınız bana kuvvet verdi.","minnettarlik"
"Bu taşkınlığa hiddet beslerim.","kizginlik"
"Doğrusu söylenenler tam yerini bulmayabilir; ihtiyat daha evlâdır.","cekince"
"Muradımız gerçekleşecek, ruhum böyle fısıldar.","umut"
"Bugün yüzüm gülmedi; günüm kederle soldu.","uzuntu"
"Gönlümce olan budur, mektubumu kabul buyurunuz.","istek"
"Bahşettiğiniz vakte teşekkür borçluyum; gönlüm ferah buldu.","minnettarlik"
"Bu haksızlığa öfkelenirim.","kizginlik"
"Bu karanlık dağılacak, bekleyişim boşa çıkmaz sanırım.","umut"
"Dilerim ki bir cevap veriniz.","istek"
"Mürüvvet buyurup meseleyi tekrar nazardan geçiriniz; rica olunur.","istek"
"Bu kabalığa şiddetle karşı çıkarım.","kizginlik"
"Olur ki dertler hafifleyecek.","umut"
"Talihim karardı, çünkü işim arzu ettiğim gibi gitmedi.","uzuntu"
"Işim arzu ettiğim gibi gitmedi; neşem benden uzaklaştı.","uzuntu"
"İstirham ederim kapıyı açtırınız.","istek"
"Vicdan buna susmaz; bu kabalığa şiddetle karşı çıkarım.","kizginlik"
"Talihim karardı; ümidim zayıf düştü.","uzuntu"
"Zât-ı âlinize hâlisâne hürmetle takdim ederim; himmetinizi daima aziz tutarım.","saygi"
"Huzur-ı âlinize büyük bir edeple takdim ederim.","saygi"
"Yüreğim incindi; ayrılık ateşi içimi yaktı.","uzuntu"
"Bahtım suskun kaldı; muradım hâsıl olmadı.","uzuntu"
"Muhterem efendim zikrederim; nüktelerinizden istifade ederim.","saygi"
"Size karşı minnettarım, müşkülüm çözüldü.","minnettarlik"
"Bu taşkınlığa öfkelenirim; vicdan buna susmaz.","kizginlik"
"Gönlüm der ki gönlümüz ferah bulacak.","umut"
"Kanaatimce muradımız gerçekleşecek; ruhum böyle fısıldar.","umut"
"Beklenen haber gelecek, içimden böyle geçer.","umut"
"Muhterem efendim samimî bir ihtiramla arz ederim; feyzinize sığınırım.","saygi"
"Ümidim odur ki işler düzelecek; içimden böyle geçer.","umut"
"Ettiğiniz ihsana dolayı minnettarım.","minnettarlik"
"Ayrılık ateşi içimi yaktı; gözüm yaşa meyletti.","uzuntu"
"Karar vermeden evvel düşünmek gerekir; bu yüzden duraksarım.","cekince"
"Verdiğiniz desteğe şükrümü arz ederim; hatırınız bende daim oldu.","minnettarlik"
"Yüreğim incindi, çünkü muradım hâsıl olmadı.","uzuntu"
"Kanaatim tam değildir bu yolda bazı mahzurlar vardır.","cekince"
"Kanaatimce sabrın semeresi görünecek.","umut"
"Şüphem odur ki görünen kadar kolay değildir.","cekince"
"Yolun niçin uzadığı hakkında ne buyurulur?","merak"
"Lâkin sonu umulan gibi çıkmayabilir; ihtiyat daha evlâdır.","cekince"
"Yaptığınız iyiliğe dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Kalbim keder içindedir; muradım hâsıl olmadı.","uzuntu"
"Acaba, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Umarım gönlümüz ferah bulacak.","umut"
"Biraz ihtiyatla söylerim ki her işaret güven vermiyor; tedbir elden bırakılmamalıdır.","cekince"
"Gönlümce olan budur, hâlimi dinleyiniz.","istek"
"Bu haksızlığa öfkelenirim; bu kadarı artık fazladır.","kizginlik"
"Beklenen haberin akıbeti niçin böyle olmuştur?","merak"
"Hâcetim buna yönelmiştir, mektubumu kabul buyurunuz.","istek"
"Şüphem odur ki bu yolda bazı mahzurlar vardır; bir kere daha düşünmek yerinde olur.","cekince"
"Bu edepsizliğe buna razı olmam.","kizginlik"
"Anlamak arzusuyla sorarım bu hâlin sebebi nasıldır?","merak"
"Günüm kederle soldu; sessizlik beni yordu.","uzuntu"
"Yaptığınız iyiliğe karşı kalben müteşekkirim, yardımınız bana kuvvet verdi.","minnettarlik"
"Bahtım suskun kaldı; ayrılık ateşi içimi yaktı.","uzuntu"
"Mezkur sözün manası hususunda malûmat verir misiniz?","merak"
"Şerefli efendim hâlisâne hürmetle takdim ederim; himmetinizi daima aziz tutarım.","saygi"
"İzzetlü efendim beyan eylerim; feyzinize sığınırım.","saygi"
"Hududu aşıyorsunuz; bu yersiz davranışa şiddetle karşı çıkarım.","kizginlik"
"Allah'ın izniyle kapılar açılacak; ruhum böyle fısıldar.","umut"
"Gönlümde bir sual dolaşır mezkur sözün manası nasıldır?","merak"
"Zât-ı âlinize dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Bu taşkınlığa rızâ göstermem.","kizginlik"
"Lütfedip haber ulaştırınız; talebim budur.","istek"
"İnşallah yarın daha aydınlık olacak; buna inanırım.","umut"
"Kanaatimce dertler hafifleyecek.","umut"
"Cömert nazarınıza dolayı şükrümü arz ederim.","minnettarlik"
"Kadr ü kıymeti yüce efendim büyük bir edeple beyan eylerim; iradenizden ayrılmam.","saygi"
"Açık söylemek gerekirse işin görünmeyen tarafı ağır basabilir; gönlüm tam mutmain değildir.","cekince"
"Bununla beraber vaktin henüz olgunlaşmadığını sanırım.","cekince"
"İçim dardır, çünkü günüm kederle soldu.","uzuntu"
"İnâyet ederseniz bu hususta izin veriniz.","istek"
"Doğrusu her işaret güven vermiyor.","cekince"
"Gam beni sardı; dertlerim arttı.","uzuntu"
"Yakında yarın daha aydınlık olacak.","umut"
"İçim dardır, çünkü muradım hâsıl olmadı.","uzuntu"
"Kanaatim tam değildir bu yolda bazı mahzurlar vardır; bir kere daha düşünmek yerinde olur.","cekince"
"Gönlümce olan budur, yardım elinizi uzatınız.","istek"
"Dilerim ki hâlimi dinleyiniz; rica olunur.","istek"
"Keremkâr hazretleri samimî bir ihtiramla huzurunuza koyarım; işaretiniz benim için emirdir.","saygi"
"Huzur-ı âlinize derin bir saygı ile bildiririm.","saygi"
"Verdiğiniz desteğe dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Esirgemediğiniz himmete şükrümü arz ederim; hatırınız bende daim oldu.","minnettarlik"
"Bu edepsizliğe içim kaynar; hududu aşıyorsunuz.","kizginlik"
"İnâyetinize karşı gönülden şükrederim, dertli hâlim teskin oldu.","minnettarlik"
"Verdiğiniz desteğe gönülden şükrederim; gönlüm ferah buldu.","minnettarlik"
"Bu yolun nereye varacağı hususunda malûmat verir misiniz?","merak"
"Doğrusu her işaret güven vermiyor; kesin söz söylemekte zorlanırım.","cekince"
"Bu kırıcı tavra pek gazap duyarım; hududu aşıyorsunuz.","kizginlik"
"Güzel bir sabah gibi bu karanlık dağılacak.","umut"
"Esirgemediğiniz himmete dolayı iyiliğinizi unutamam.","minnettarlik"
"Bu yersiz davranışa buna razı olmam; insafı terk etmişsiniz.","kizginlik"
"Şunu öğrenmek muradıyla sorarım vaktin niçin geciktiği hangi sebepten doğmuştur?","merak"
"Verdiğiniz desteğe dolayı şükran duyarım.","minnettarlik"
"Ne yazık ki; dilimden neşe eksildi.","uzuntu"
"Verdiğiniz desteğe dolayı şükrümü arz ederim.","minnettarlik"
"Kalbim keder içindedir, çünkü beklediğim kişi görünmedi.","uzuntu"
"İnâyetinize karşı hâlisâne teşekkür ederim, yardımınız bana kuvvet verdi.","minnettarlik"
"Müteber efendim kemâl-i hürmetle ifade kılarım.","saygi"
"Şunu öğrenmek muradıyla sorarım yarınki ahvâl ne suretle anlaşılır?","merak"
"Devletlü efendim büyük bir edeple zikrederim.","saygi"
"Zihnimi meşgul eden sual şudur yarınki ahvâl hangi sebepten doğmuştur?","merak"
"Zât-ı âlinize nihâyet ihtiram ile ifade kılarım.","saygi"
"Zihnimi meşgul eden sual şudur bu işteki hikmet nedir?","merak"
"Insafı terk etmişsiniz; bu nankörlüğe şiddetle karşı çıkarım.","kizginlik"
"İnâyetinize dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Ettiğiniz ihsana dolayı şükran duyarım.","minnettarlik"
"Size minnettarım; hatırınız bende daim oldu.","minnettarlik"
"İnâyet ederseniz bu hususta izin veriniz; bendenizi mahrum bırakmayınız.","istek"
"Bununla beraber acele etmek münasip görünmez; kesin söz söylemekte zorlanırım.","cekince"
"Bahşettiğiniz vakte kalben müteşekkirim; gönlüm ferah buldu.","minnettarlik"
"İnâyetinize karşı borcumu kelâm ile ödeyemem, yüküm hafifledi.","minnettarlik"
"Bu kabalığa tahammül edemem; adalet duygusu zedelendi.","kizginlik"
"Gönlüm der ki yarın daha aydınlık olacak.","umut"
"Hududu aşıyorsunuz; bu yersiz davranışa sabır gösteremem.","kizginlik"
"Ettiğiniz ihsana dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Muhterem efendim büyük bir edeple dile getiririm; işaretiniz benim için emirdir.","saygi"
"Gönlümce olan budur, haber ulaştırınız.","istek"
"Bu söze tahammül edemem; sözünüz yara açtı.","kizginlik"
"Cömert nazarınıza dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Rica eylerim kapıyı açtırınız.","istek"
"İnâyet ederseniz meseleyi tekrar nazardan geçiriniz.","istek"
"Merak ederim ki bu hâlin sebebi ne için böyledir?","merak"
"Lâkin görünen kadar kolay değildir.","cekince"
"Bu edepsizliğe hiddet beslerim.","kizginlik"
"Şöyle bir sual var ki kapının neden kapalı kaldığı nasıl izah olunur?","merak"
"Işler düzelecek, içimden böyle geçer.","umut"
"Gönlümüz ferah bulacak, iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Huzur-ı âlinize tevkir duygusuyla sunarım; iradenizden ayrılmam.","saygi"
"Hududu aşıyorsunuz; bu haksızlığa sabır gösteremem.","kizginlik"
"Verdiğiniz desteğe dolayı kalben müteşekkirim.","minnettarlik"
"İnâyet ederseniz yardım elinizi uzatınız; bendenizi mahrum bırakmayınız.","istek"
"Arzım odur ki kapıyı açtırınız.","istek"
"Kanaatimce bu karanlık dağılacak.","umut"
"Bu kadarı artık fazladır; bu haksızlığa tahammül edemem.","kizginlik"
"Sormak isterim, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Muhterem efendim beyan eylerim; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Müteber efendim bildiririm; nazar-ı dikkatinize minnettarım.","saygi"
"Kanaatim tam değildir bu işe hemen girişmek doğru olmayabilir.","cekince"
"İçimde bir çekince doğdu söylenenler tam yerini bulmayabilir.","cekince"
"Hâcetim buna yönelmiştir, meseleyi tekrar nazardan geçiriniz.","istek"
"Size dolayı şükran duyarım.","minnettarlik"
"Meclisteki sessizliğin hikmeti niçin böyle olmuştur?","merak"
"Bu hâle şiddetle karşı çıkarım.","kizginlik"
"Temennim budur ki mektubumu kabul buyurunuz.","istek"
"Müteber efendim samimî bir ihtiramla sunarım.","saygi"
"Müteber efendim ifade kılarım; himmetinizi daima aziz tutarım.","saygi"
"Bu muamele kabul olunmaz; bu kırıcı tavra şiddetle karşı çıkarım.","kizginlik"
"Lütufkâr efendim nihâyet ihtiram ile zikrederim; nüktelerinizden istifade ederim.","saygi"
"Anlamak arzusuyla sorarım vukû bulan işin aslı nicedir?","merak"
"Talihim karardı; ayrılık ateşi içimi yaktı.","uzuntu"
"Bu edepsizliğe öfkelenirim.","kizginlik"
"Bugün yüzüm gülmedi; ayrılık ateşi içimi yaktı.","uzuntu"
"İzzetlü efendim tevkir duygusuyla dile getiririm.","saygi"
"Yakında gönlümüz ferah bulacak.","umut"
"Yarın daha aydınlık olacak, içimde bir ışık yanar.","umut"
"Zât-ı âlinize samimî bir ihtiramla bildiririm.","saygi"
"Huzur-ı âlinize takdim ederim; himmetinizi daima aziz tutarım.","saygi"
"Hayretle sorarım: yolun niçin uzadığı nedendir?","merak"
"Rica eylerim bir cevap veriniz.","istek"
"Ettiğiniz ihsana karşı minnettarım, hatırınız bende daim oldu.","minnettarlik"
"Bu yersiz davranışa sabır gösteremem; insafı terk etmişsiniz.","kizginlik"
"Merak ederim ki, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"Maalesef; sevindirici haber gelmedi.","uzuntu"
"Dertlerim arttı; ruhum inceldi.","uzuntu"
"Huzur-ı âlinize samimî bir ihtiramla takdim ederim; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Merak ederim ki, yarınki ahvâl hakkında bir izah var mıdır?","merak"
"Kerem buyurup mektubumu kabul buyurunuz; bu niyazımı geri çevirmeyiniz.","istek"
"Esirgemediğiniz himmete dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Dilerim ki haber ulaştırınız; nihâyet arzum budur.","istek"
"Şüphem odur ki sonu umulan gibi çıkmayabilir.","cekince"
"Yüreğim incindi; muradım hâsıl olmadı.","uzuntu"
"Dilerim ki yardım elinizi uzatınız; gönlüm bu yönde muraddar olmuştur.","istek"
"Şunu öğrenmek muradıyla sorarım kapının neden kapalı kaldığı ne suretle anlaşılır?","merak"
"Kanaatim tam değildir söylenenler tam yerini bulmayabilir.","cekince"
"Acaba kapının neden kapalı kaldığı ne vakit açıklık kazanır?","merak"
"Yüreğim incindi, çünkü işim arzu ettiğim gibi gitmedi.","uzuntu"
"Zât-ı âlinize sonsuz tâzimle beyan eylerim.","saygi"
"Lütufkâr efendim yâd ederim; feyzinize sığınırım.","saygi"
"Kanaatimce talih yüz gösterecek; ruhum böyle fısıldar.","umut"
"Kanaatimce yarın daha aydınlık olacak; ruhum böyle fısıldar.","umut"
"Bu hâle içim kaynar; adalet duygusu zedelendi.","kizginlik"
"Yarın daha aydınlık olacak, bekleyişim boşa çıkmaz sanırım.","umut"
"Lütufkâr efendim hâlisâne hürmetle sunarım; hükmünüze râm olurum.","saygi"
"Muradımız gerçekleşecek, tesellim bu yöndedir.","umut"
"Zihnimi meşgul eden sual şudur, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"Bu haksızlığa rızâ göstermem.","kizginlik"
"İçim dardır, çünkü ayrılık ateşi içimi yaktı.","uzuntu"
"Bu söze gönlüm isyan eder.","kizginlik"
"Lütfedip mektubumu kabul buyurunuz; bunu büyük bir arzu ile talep ederim.","istek"
"Muradımız gerçekleşecek, içimden böyle geçer.","umut"
"Ümit ederim sabrın semeresi görünecek; gözüm ufka çevrilidir.","umut"
"Şüphem odur ki bu işe hemen girişmek doğru olmayabilir.","cekince"
"Bu zulme tahammül edemem.","kizginlik"
"Işler düzelecek, gözüm ufka çevrilidir.","umut"
"Gönlüm bu yönde muraddar olmuştur, bu hususta izin veriniz.","istek"
"Keremkâr hazretleri beyan eylerim; nüktelerinizden istifade ederim.","saygi"
"Bu kabalığa hiddet beslerim; sözünüz yara açtı.","kizginlik"
"Bu nankörlüğe tahammül edemem; adalet duygusu zedelendi.","kizginlik"
"Sözünüz yara açtı; bu nankörlüğe rızâ göstermem.","kizginlik"
"Bu işteki hikmet hususunda malûmat verir misiniz?","merak"
"İdrak etmek isterim yarınki ahvâl neye delâlet eder?","merak"
"Bu hâle gönlüm isyan eder.","kizginlik"
"Kalbimde bir tereddüt vardır işin görünmeyen tarafı ağır basabilir; bir kere daha düşünmek yerinde olur.","cekince"
"Bu niyazımı geri çevirmeyiniz, mektubumu kabul buyurunuz.","istek"
"Maalesef, çünkü vaktim elem ile geçti.","uzuntu"
"Lâkin her işaret güven vermiyor; kesin söz söylemekte zorlanırım.","cekince"
"Verdiğiniz desteğe karşı borcumu kelâm ile ödeyemem, gönlüm ferah buldu.","minnettarlik"
"Ettiğiniz ihsana dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Kanaatim tam değildir her işaret güven vermiyor.","cekince"
"Kadr ü kıymeti yüce efendim kemâl-i hürmetle sunarım; feyzinize sığınırım.","saygi"
"Bu yersiz davranışa buna razı olmam.","kizginlik"
"Vicdan buna susmaz; bu söze şiddetle karşı çıkarım.","kizginlik"
"Devletlü efendim hâlisâne hürmetle zikrederim.","saygi"
"Bu söze hiddet beslerim.","kizginlik"
"Işler düzelecek, içimde bir ışık yanar.","umut"
"Bu hâle hiddet beslerim.","kizginlik"
"Devletlü efendim yâd ederim; işaretiniz benim için emirdir.","saygi"
"Dertler hafifleyecek, ruhum böyle fısıldar.","umut"
"Keremkâr hazretleri ifade kılarım; nazar-ı dikkatinize minnettarım.","saygi"
"Açık söylemek gerekirse acele etmek münasip görünmez.","cekince"
"Bahtım suskun kaldı, çünkü vaktim elem ile geçti.","uzuntu"
"Rica eylerim yardım elinizi uzatınız; gönlümce olan budur.","istek"
"Yakında işler düzelecek.","umut"
"Zât-ı âlinize hâlisâne teşekkür ederim; bu inceliği pek aziz bildim.","minnettarlik"
"Sonu umulan gibi çıkmayabilir; gönlüm tam mutmain değildir.","cekince"
"Bu kabalığa öfkelenirim; yaptığınız kalbi incitti.","kizginlik"
"Yakında işler düzelecek; bekleyişim boşa çıkmaz sanırım.","umut"
"Gösterdiğiniz lütfa dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Sormak isterim, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"Bilmeyi isterim ki, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Talihim karardı; işim arzu ettiğim gibi gitmedi.","uzuntu"
"Lâkin söylenenler tam yerini bulmayabilir; bu sebeple temkinli davranırım.","cekince"
"Lütufkâr efendim kemâl-i hürmetle takdim ederim; nazar-ı dikkatinize minnettarım.","saygi"
"İçimde bir çekince doğdu işin görünmeyen tarafı ağır basabilir; bu yüzden duraksarım.","cekince"
"Bilmeyi isterim ki, mezkur sözün manası hakkında bir izah var mıdır?","merak"
"Kalbimde bir tereddüt vardır sonu umulan gibi çıkmayabilir; bir kere daha düşünmek yerinde olur.","cekince"
"Merak ederim ki yarınki ahvâl neye delâlet eder?","merak"
"Hayretle sorarım, o kelâmın kastı nasıl anlaşılır?","merak"
"Şerefli efendim huzurunuza koyarım; feyzinize sığınırım.","saygi"
"Umarım talih yüz gösterecek; ruhum böyle fısıldar.","umut"
"Şöyle bir sual var ki, bu hâlin sebebi hakkında bir izah var mıdır?","merak"
"Allah'ın izniyle gönlümüz ferah bulacak.","umut"
"Dilerim ki kapıyı açtırınız; bendenizi mahrum bırakmayınız.","istek"
"Gönlüm pek mahzundur; dertlerim arttı.","uzuntu"
"Gönlüm der ki gönlümüz ferah bulacak; içimden böyle geçer.","umut"
"Sormak isterim, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Bu zulme sabır gösteremem; artık bıkkınlık verdi.","kizginlik"
"Gönlüm der ki bu karanlık dağılacak; tesellim bu yöndedir.","umut"
"Kanaatim tam değildir işin görünmeyen tarafı ağır basabilir; hemen hükme varmak istemem.","cekince"
"Şüphem odur ki karar vermeden evvel düşünmek gerekir; bu yüzden duraksarım.","cekince"
"Gam beni sardı; muradım hâsıl olmadı.","uzuntu"
"Talihim karardı, çünkü sevindirici haber gelmedi.","uzuntu"
"Yaptığınız kalbi incitti; bu zulme içim kaynar.","kizginlik"
"Gösterdiğiniz lütfa dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Mürüvvet buyurup yardım elinizi uzatınız; rica olunur.","istek"
"Mümkün ise bu işi geciktirmeyiniz; hâcetim buna yönelmiştir.","istek"
"Kadr ü kıymeti yüce efendim sunarım; sözünüz başım üstündedir.","saygi"
"Keremkâr hazretleri büyük bir edeple arz ederim; buyruğunuz benim için makbuldür.","saygi"
"Kalbimde bir tereddüt vardır bu işe hemen girişmek doğru olmayabilir; gönlüm tam mutmain değildir.","cekince"
"Kerem buyurup bu işi geciktirmeyiniz; bunu büyük bir arzu ile talep ederim.","istek"
"Beklediğim kişi görünmedi; içimde bir boşluk kaldı.","uzuntu"
"Bahtım suskun kaldı, çünkü dertlerim arttı.","uzuntu"
"Doğrusu acele etmek münasip görünmez; ayakları sıkı basmak gerekir.","cekince"
"İzzetlü efendim samimî bir ihtiramla ifade kılarım.","saygi"
"Şöyle bir sual var ki, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"İnâyet ederseniz biraz mühlet tanıyınız.","istek"
"Bu yolda bazı mahzurlar vardır; hemen hükme varmak istemem.","cekince"
"Kanaatim tam değildir vaktin henüz olgunlaşmadığını sanırım; bu sebeple temkinli davranırım.","cekince"
"Kanaatim tam değildir her işaret güven vermiyor; bir kere daha düşünmek yerinde olur.","cekince"
"İstirham ederim haber ulaştırınız; bendenizi mahrum bırakmayınız.","istek"
"Olur ki işler düzelecek.","umut"
"Bu zulme pek gazap duyarım.","kizginlik"
"Müteber efendim samimî bir ihtiramla yâd ederim; hükmünüze râm olurum.","saygi"
"Hududu aşıyorsunuz; bu taşkınlığa pek gazap duyarım.","kizginlik"
"Keremkâr hazretleri tam bir tâzim ile ifade kılarım; feyzinize sığınırım.","saygi"
"Merak ederim ki, mezkur sözün manası hakkında bir izah var mıdır?","merak"
"Ne yazık ki; günüm kederle soldu.","uzuntu"
"Mürüvvet buyurup bu işi geciktirmeyiniz.","istek"
"Keremkâr hazretleri kemâl-i hürmetle beyan eylerim.","saygi"
"Esirgemediğiniz himmete karşı bu lütfu daima yâd ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Bu zulme öfkelenirim; vicdan buna susmaz.","kizginlik"
"Şunu öğrenmek muradıyla sorarım, işbu rivayetin doğruluğu hakkında bir izah var mıdır?","merak"
"Ne yazık ki, çünkü günüm kederle soldu.","uzuntu"
"Keremkâr hazretleri beyan eylerim; buyruğunuz benim için makbuldür.","saygi"
"Güzel bir sabah gibi muradımız gerçekleşecek; kalbim buna meyleder.","umut"
"Verdiğiniz desteğe dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Gösterdiğiniz lütfa karşı gönülden şükrederim, adıma büyük bir iyilik doğdu.","minnettarlik"
"Size teşekkür borçluyum; duam sizden yana oldu.","minnettarlik"
"Biraz ihtiyatla söylerim ki bu yolda bazı mahzurlar vardır; bu sebeple temkinli davranırım.","cekince"
"Yaptığınız iyiliğe karşı gönülden şükrederim, gönlüm ferah buldu.","minnettarlik"
"Artık bıkkınlık verdi; bu kabalığa rızâ göstermem.","kizginlik"
"Esirgemediğiniz himmete dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Bu haksızlığa pek gazap duyarım; bunun hesabı sorulmalıdır.","kizginlik"
"Zihnimi meşgul eden sual şudur mezkur sözün manası ne suretle anlaşılır?","merak"
"Devletlü efendim samimî bir ihtiramla zikrederim.","saygi"
"İçim dardır; ayrılık ateşi içimi yaktı.","uzuntu"
"Anlamak arzusuyla sorarım yarınki ahvâl hangi cihete varır?","merak"
"İçim dardır; dertlerim arttı.","uzuntu"
"İdrak etmek isterim, işbu rivayetin doğruluğu hakkında bir izah var mıdır?","merak"
"Gönlümde bir sual dolaşır yarınki ahvâl ne için böyledir?","merak"
"Mümkün ise bir cevap veriniz.","istek"
"Cömert nazarınıza karşı teşekkür borçluyum, adıma büyük bir iyilik doğdu.","minnettarlik"
"Huzur-ı âlinize kemâl-i hürmetle yâd ederim; işaretiniz benim için emirdir.","saygi"
"Doğrusu görünen kadar kolay değildir.","cekince"
"Talih yüz gösterecek, gözüm ufka çevrilidir.","umut"
"Bu dileğim samimîdir, hâlimi dinleyiniz.","istek"
"İdrak etmek isterim kapının neden kapalı kaldığı nicedir?","merak"
"Bu zulme şiddetle karşı çıkarım; sözünüz yara açtı.","kizginlik"
"İnâyet ederseniz mektubumu kabul buyurunuz; bu niyazımı geri çevirmeyiniz.","istek"
"İnâyetinize teşekkür borçluyum; duam sizden yana oldu.","minnettarlik"
"Şerefli efendim arz ederim; feyzinize sığınırım.","saygi"
"Şunu öğrenmek muradıyla sorarım, mezkur sözün manası hakkında bir izah var mıdır?","merak"
"Artık bıkkınlık verdi; bu taşkınlığa hiddet beslerim.","kizginlik"
"Kerem buyurup bu hususta izin veriniz.","istek"
"İdrak etmek isterim, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Yaptığınız iyiliğe karşı borcumu kelâm ile ödeyemem, müşkülüm çözüldü.","minnettarlik"
"Vaktim elem ile geçti; sabrım ağır imtihana düştü.","uzuntu"
"Ümidim odur ki talih yüz gösterecek.","umut"
"Arzım odur ki bu işi geciktirmeyiniz; bunu büyük bir arzu ile talep ederim.","istek"
"Anlamak arzusuyla sorarım bu yolun nereye varacağı ne suretle anlaşılır?","merak"
"Sormak isterim, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Gönlümde bir sual dolaşır işbu rivayetin doğruluğu nasıl izah olunur?","merak"
"Devletlü efendim derin bir saygı ile beyan eylerim.","saygi"
"Verdiğiniz desteğe karşı iyiliğinizi unutamam, adıma büyük bir iyilik doğdu.","minnettarlik"
"Ümit ederim işler düzelecek.","umut"
"Ümidim zayıf düştü; hâlimi anlatmak müşkül oldu.","uzuntu"
"Açık söylemek gerekirse bu yolda bazı mahzurlar vardır; içimdeki tereddüt sürer.","cekince"
"Yakında sabrın semeresi görünecek; ruhum böyle fısıldar.","umut"
"Keremkâr hazretleri nihâyet ihtiram ile takdim ederim; nazar-ı dikkatinize minnettarım.","saygi"
"Gönlüm pek mahzundur, çünkü muradım hâsıl olmadı.","uzuntu"
"Gönlümde bir sual dolaşır, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"Zât-ı âlinize şükran duyarım; hatırınız bende daim oldu.","minnettarlik"
"İzzetlü efendim sonsuz tâzimle zikrederim; buyruğunuz benim için makbuldür.","saygi"
"Artık bıkkınlık verdi; bu kabalığa buna razı olmam.","kizginlik"
"Bahtım suskun kaldı; dertlerim arttı.","uzuntu"
"Sevindirici haber gelmedi; içimde bir boşluk kaldı.","uzuntu"
"Vicdan buna susmaz; bu taşkınlığa gönlüm isyan eder.","kizginlik"
"Kadr ü kıymeti yüce efendim bihakkın ihtiram göstererek zikrederim; hükmünüze râm olurum.","saygi"
"Size dolayı hâlisâne teşekkür ederim.","minnettarlik"
"Lütufkâr efendim tam bir tâzim ile takdim ederim.","saygi"
"Yaptığınız iyiliğe gönülden şükrederim; bu inceliği pek aziz bildim.","minnettarlik"
"İstirham ederim bu işi geciktirmeyiniz; gönlüm bu yönde muraddar olmuştur.","istek"
"Vaktim elem ile geçti; teselli bulamadım.","uzuntu"
"Lütfedip bir cevap veriniz.","istek"
"Verdiğiniz desteğe dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Vaktin henüz olgunlaşmadığını sanırım; ayakları sıkı basmak gerekir.","cekince"
"Bahşettiğiniz vakte karşı teşekkür borçluyum, adıma büyük bir iyilik doğdu.","minnettarlik"
"İnâyet ederseniz bir cevap veriniz.","istek"
"Yakında gönlümüz ferah bulacak; içimden böyle geçer.","umut"
"Şunu öğrenmek muradıyla sorarım bu yolun nereye varacağı ne vakit açıklık kazanır?","merak"
"İstirham ederim hâlimi dinleyiniz; rica olunur.","istek"
"Yakında bu karanlık dağılacak; kalbim buna meyleder.","umut"
"Doğrusu bu işe hemen girişmek doğru olmayabilir.","cekince"
"Bu zulme rızâ göstermem.","kizginlik"
"Mümkün ise meseleyi tekrar nazardan geçiriniz; rica olunur.","istek"
"Bu kabalığa öfkelenirim.","kizginlik"
"Şöyle bir sual var ki, yarınki ahvâl hakkında bir izah var mıdır?","merak"
"Güzel bir sabah gibi kapılar açılacak.","umut"
"Bahtım suskun kaldı; işim arzu ettiğim gibi gitmedi.","uzuntu"
"Bu nankörlüğe pek gazap duyarım; vicdan buna susmaz.","kizginlik"
"Gönlüm der ki işler düzelecek; bu düşünce beni diri tutar.","umut"
"Kanaatim tam değildir karar vermeden evvel düşünmek gerekir.","cekince"
"İdrak etmek isterim bu yolun nereye varacağı hangi sebepten doğmuştur?","merak"
"Ettiğiniz ihsana minnettarım; dertli hâlim teskin oldu.","minnettarlik"
"Lütufkâr efendim derin bir saygı ile yâd ederim.","saygi"
"Rica eylerim bir cevap veriniz; talebim budur.","istek"
